AREA,GENERIC-TEXT,INSTAGRAM-TEXT
Alabama,"The number of people living in Alabama was 5,024,279 as of April 1, 2020, an increase of 5.1% since the 2010 Census. #2020Census 

View Alabama’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Alabama was 5,024,279 as of April 1, 2020, an increase of 5.1% since the 2010 Census. #2020Census 

#Alabama #AL"
Alaska,"The number of people living in Alaska was 733,391 as of April 1, 2020, an increase of 3.3% since the 2010 Census. #2020Census 

View Alaska’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Alaska was 733,391 as of April 1, 2020, an increase of 3.3% since the 2010 Census. #2020Census 

#Alaska #AK"
Arizona,"The number of people living in Arizona was 7,151,502 as of April 1, 2020, an increase of 11.9% since the 2010 Census. #2020Census 

View Arizona’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Arizona was 7,151,502 as of April 1, 2020, an increase of 11.9% since the 2010 Census. #2020Census 

#Arizona #AZ"
Arkansas,"The number of people living in Arkansas was 3,011,524 as of April 1, 2020, an increase of 3.3% since the 2010 Census. #2020Census 

View Arkansas’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Arkansas was 3,011,524 as of April 1, 2020, an increase of 3.3% since the 2010 Census. #2020Census 

#Arkansas #AR"
California,"The number of people living in California was 39,538,223 as of April 1, 2020, an increase of 6.1% since the 2010 Census. #2020Census 

View California’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in California was 39,538,223 as of April 1, 2020, an increase of 6.1% since the 2010 Census. #2020Census 

#California #CA"
Colorado,"The number of people living in Colorado was 5,773,714 as of April 1, 2020, an increase of 14.8% since the 2010 Census. #2020Census 

View Colorado’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Colorado was 5,773,714 as of April 1, 2020, an increase of 14.8% since the 2010 Census. #2020Census 

#Colorado #CO"
Connecticut,"The number of people living in Connecticut was 3,605,944 as of April 1, 2020, an increase of 0.9% since the 2010 Census. #2020Census 

View Connecticut’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Connecticut was 3,605,944 as of April 1, 2020, an increase of 0.9% since the 2010 Census. #2020Census 

#Connecticut #CT"
Delaware,"The number of people living in Delaware was 989,948 as of April 1, 2020, an increase of 10.2% since the 2010 Census. #2020Census 

View Delaware’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Delaware was 989,948 as of April 1, 2020, an increase of 10.2% since the 2010 Census. #2020Census 

#Delaware #DE"
District of Columbia,"The number of people living in District of Columbia was 689,545 as of April 1, 2020, an increase of 14.6% since the 2010 Census. #2020Census 

View District of Columbia’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in District of Columbia was 689,545 as of April 1, 2020, an increase of 14.6% since the 2010 Census. #2020Census 

#DistrictofColumbia #DC"
Florida,"The number of people living in Florida was 21,538,187 as of April 1, 2020, an increase of 14.6% since the 2010 Census. #2020Census 

View Florida’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Florida was 21,538,187 as of April 1, 2020, an increase of 14.6% since the 2010 Census. #2020Census 

#Florida #FL"
Georgia,"The number of people living in Georgia was 10,711,908 as of April 1, 2020, an increase of 10.6% since the 2010 Census. #2020Census 

View Georgia’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Georgia was 10,711,908 as of April 1, 2020, an increase of 10.6% since the 2010 Census. #2020Census 

#Georgia #GA"
Hawaii,"The number of people living in Hawaii was 1,455,271 as of April 1, 2020, an increase of 7.0% since the 2010 Census. #2020Census 

View Hawaii’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Hawaii was 1,455,271 as of April 1, 2020, an increase of 7.0% since the 2010 Census. #2020Census 

#Hawaii #HI"
Idaho,"The number of people living in Idaho was 1,839,106 as of April 1, 2020, an increase of 17.3% since the 2010 Census. #2020Census 

View Idaho’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Idaho was 1,839,106 as of April 1, 2020, an increase of 17.3% since the 2010 Census. #2020Census 

#Idaho #ID"
Illinois,"The number of people living in Illinois was 12,812,508 as of April 1, 2020, a decrease of -0.1% since the 2010 Census. #2020Census 

View Illinois’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Illinois was 12,812,508 as of April 1, 2020, a decrease of -0.1% since the 2010 Census. #2020Census 

#Illinois #IL"
Indiana,"The number of people living in Indiana was 6,785,528 as of April 1, 2020, an increase of 4.7% since the 2010 Census. #2020Census 

View Indiana’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Indiana was 6,785,528 as of April 1, 2020, an increase of 4.7% since the 2010 Census. #2020Census 

#Indiana #IN"
Iowa,"The number of people living in Iowa was 3,190,369 as of April 1, 2020, an increase of 4.7% since the 2010 Census. #2020Census 

View Iowa’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Iowa was 3,190,369 as of April 1, 2020, an increase of 4.7% since the 2010 Census. #2020Census 

#Iowa #IA"
Kansas,"The number of people living in Kansas was 2,937,880 as of April 1, 2020, an increase of 3.0% since the 2010 Census. #2020Census 

View Kansas’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Kansas was 2,937,880 as of April 1, 2020, an increase of 3.0% since the 2010 Census. #2020Census 

#Kansas #KS"
Kentucky,"The number of people living in Kentucky was 4,505,836 as of April 1, 2020, an increase of 3.8% since the 2010 Census. #2020Census 

View Kentucky’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Kentucky was 4,505,836 as of April 1, 2020, an increase of 3.8% since the 2010 Census. #2020Census 

#Kentucky #KY"
